Date,ID,Latitude,Longitude,y_proj,x_proj,SM1,P1,SM2,P2,SM3,P3,SM4,P4,SM5,P5,SM6,P6,SM7,P7,Average,SD
11/2/12,HF036,42.43726554,-76.25045713,4699083.614,397151.5433,38,1.02,36,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,1.414213562
11/9/12,HF036,42.43726554,-76.25045713,4699083.614,397151.5433,28,0.97,27,0.96,30,0.98,NA,NA,NA,NA,NA,NA,NA,NA,28.333333,1.527525232
11/16/12,HF036,42.43726554,-76.25045713,4699083.614,397151.5433,34,1,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,0
11/30/12,HF036,42.43726554,-76.25045713,4699083.614,397151.5433,23,0.94,23,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0
4/19/13,HF036,42.43726554,-76.25045713,4699083.61,397151.54,33,0.99,30,0.98,35,1,36,1.01,NA,NA,NA,NA,NA,NA,33.5,2.645751311
5/16/13,HF036,42.43726554,-76.25045713,4699083.61,397151.54,27,0.92,23,0.93,12,0.86,15,0.88,NA,NA,NA,NA,NA,NA,19.25,6.946221995
6/27/13,HF036,42.43726554,-76.25045713,4699083.614,397151.5433,20,0.92,20,0.92,14,0.87,10,0.86,15,0.88,NA,NA,NA,NA,15.8,4.266145802
7/18/13,HF036,42.43726554,-76.25045713,4699083.614,397151.5433,12,0.86,14,0.87,12,0.86,NA,NA,NA,NA,NA,NA,NA,NA,12.66666667,1.154700538
8/15/13,HF036,42.43726554,-76.25045713,4699083.614,397151.5433,27,0.96,21,0.92,17,0.9,20,0.92,NA,NA,NA,NA,NA,NA,21.25,4.193248542
10/26/13,HF036,42.43726554,-76.25045713,4699083.614,397151.5433,30,0.98,23,0.93,25,0.95,38,1.02,26,0.96,NA,NA,NA,NA,29,5.941380311
11/2/12,HF037,42.43693773,-76.24994977,4699046.6,397192.7377,30,0.98,29,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,0.707106781
11/9/12,HF037,42.43693773,-76.24994977,4699046.6,397192.7377,27,0.96,27,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0
11/16/12,HF037,42.43693773,-76.24994977,4699046.6,397192.7377,22,0.93,25,0.95,27,0.97,NA,NA,NA,NA,NA,NA,NA,NA,24.666667,2.516611478
11/30/12,HF037,42.43693773,-76.24994977,4699046.6,397192.7377,22,0.93,21,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5,0.707106781
4/19/13,HF037,42.43693773,-76.24994977,4699046.6,397192.74,41,1.04,34,1,32,0.99,35,1.01,35,1.01,NA,NA,NA,NA,35.4,3.361547263
5/16/13,HF037,42.43693773,-76.24994977,4699046.6,397192.74,24,0.94,19,0.91,16,0.89,24,0.94,NA,NA,NA,NA,NA,NA,20.75,3.947573094
6/27/13,HF037,42.43693773,-76.24994977,4699046.6,397192.7377,17,0.9,20,0.92,17,0.9,NA,NA,NA,NA,NA,NA,NA,NA,18,1.732050808
